conversion_id,click_id,amount,status,created_at,updated_at
441436,428617,40.84,not active,2022-11-07,2022-11-08
84890,437650,128.03,active,2022-11-07,2022-11-09
570055,821989,121.69,not active,2022-11-07,2022-11-07
990285,686853,124.2,active,2022-11-07,2022-11-11
940218,214229,83.56,not active,2022-11-07,2022-11-11
374915,966523,70.3,not active,2022-11-07,2022-11-08
294559,679579,103.76,active,2022-11-07,2022-11-10
315268,156048,75.39,not active,2022-11-07,2022-11-09
86251,542573,65.63,not active,2022-11-07,2022-11-12
972300,875064,37.67,not active,2022-11-07,2022-11-11
165987,233602,77.11,active,2022-11-07,2022-11-08
379790,527544,75.21,active,2022-11-07,2022-11-12
658583,434879,131.99,not active,2022-11-07,2022-11-11
961274,694667,138.51,active,2022-11-07,2022-11-10
266640,706508,27.93,not active,2022-11-07,2022-11-07
91658,679579,137.75,not active,2022-11-07,2022-11-12
805132,875463,66.28,active,2022-11-07,2022-11-07
353210,548595,64.22,not active,2022-11-07,2022-11-12
941468,291356,14.75,active,2022-11-07,2022-11-12
951761,448101,94.87,active,2022-11-07,2022-11-10
503678,158219,118.52,not active,2022-11-07,2022-11-11
431647,542573,86.7,not active,2022-11-07,2022-11-09
133626,296748,85.74,not active,2022-11-07,2022-11-11
395969,557924,9.12,not active,2022-11-07,2022-11-11
292836,542746,57.99,not active,2022-11-07,2022-11-09
88596,868870,6.65,not active,2022-11-07,2022-11-09
592827,648016,35.94,active,2022-11-07,2022-11-10
162518,206571,72.92,active,2022-11-07,2022-11-09
987178,688960,30.47,not active,2022-11-07,2022-11-08
638809,224340,71.59,not active,2022-11-07,2022-11-10
21548,122751,64.27,active,2022-11-07,2022-11-08
381235,627540,100.73,not active,2022-11-07,2022-11-09
925769,390417,113.29,not active,2022-11-07,2022-11-08
829985,913299,140.19,active,2022-11-07,2022-11-11
639029,108985,28.56,not active,2022-11-07,2022-11-09
86608,209799,64.76,not active,2022-11-07,2022-11-11
872244,183030,123.25,not active,2022-11-07,2022-11-11
258466,735221,95.21,active,2022-11-07,2022-11-12
313184,518389,26.13,active,2022-11-07,2022-11-07
6837,864190,135.55,not active,2022-11-07,2022-11-11
483530,15,27.27,active,2022-11-07,2022-11-08
309279,220530,88.7,active,2022-11-07,2022-11-09
576713,128514,112.14,not active,2022-11-07,2022-11-12
518537,269013,32.91,active,2022-11-07,2022-11-08
809653,975013,66.42,active,2022-11-07,2022-11-07
796185,8782,70.91,not active,2022-11-07,2022-11-12
911339,548131,21.85,active,2022-11-07,2022-11-12
443472,933838,12.68,active,2022-11-07,2022-11-07
207855,80645,38.08,active,2022-11-07,2022-11-11
880880,989595,148.25,active,2022-11-07,2022-11-07
698019,445431,19.33,not active,2022-11-07,2022-11-08
826205,107687,106.67,not active,2022-11-07,2022-11-12
254119,141925,51.95,not active,2022-11-07,2022-11-12
401053,902886,38.11,active,2022-11-07,2022-11-09
84186,45414,8.17,active,2022-11-07,2022-11-09
643048,303242,149.87,active,2022-11-07,2022-11-09
662771,607421,37.03,active,2022-11-07,2022-11-10
87931,51143,96.84,active,2022-11-07,2022-11-11
112894,6951,4.17,not active,2022-11-07,2022-11-10
774523,994084,72.71,active,2022-11-07,2022-11-11
930308,519466,17.83,active,2022-11-07,2022-11-07
472589,475843,10.76,not active,2022-11-07,2022-11-10
228824,199113,79.58,active,2022-11-07,2022-11-07
306145,507337,77.27,not active,2022-11-07,2022-11-07
650033,129775,62.05,not active,2022-11-07,2022-11-07
103502,184382,118.31,not active,2022-11-07,2022-11-12
452627,422238,21.44,active,2022-11-07,2022-11-08
489064,169773,90.88,active,2022-11-07,2022-11-10
163536,119710,134.48,active,2022-11-07,2022-11-10
925417,507337,95.59,active,2022-11-07,2022-11-07
502769,313088,73.08,not active,2022-11-07,2022-11-09
169249,469550,124.01,not active,2022-11-07,2022-11-08
347736,121800,124.28,not active,2022-11-07,2022-11-12
658309,175262,142.78,active,2022-11-07,2022-11-09
520582,581356,62.21,not active,2022-11-07,2022-11-12
103972,646177,148.97,active,2022-11-07,2022-11-09
682582,546769,73.12,active,2022-11-07,2022-11-12
645504,113704,40.16,active,2022-11-07,2022-11-10
154701,729062,103.31,active,2022-11-07,2022-11-07
986924,743633,90.99,not active,2022-11-07,2022-11-08
32565,338418,138.23,not active,2022-11-07,2022-11-07
480104,972412,35.25,active,2022-11-07,2022-11-11
612251,41211,26.9,active,2022-11-07,2022-11-07
879369,519466,0.17,active,2022-11-07,2022-11-10
316470,973852,134.02,active,2022-11-07,2022-11-08
169618,43797,67.34,active,2022-11-07,2022-11-08
26731,259374,60.48,not active,2022-11-07,2022-11-07
829660,873533,123.82,active,2022-11-07,2022-11-08
194236,992357,127.86,not active,2022-11-07,2022-11-11
815825,437557,8.67,not active,2022-11-07,2022-11-08
16627,419851,43.65,not active,2022-11-07,2022-11-12
712211,220530,52.15,not active,2022-11-07,2022-11-12
98142,43797,31.11,not active,2022-11-07,2022-11-09
927429,822697,102.27,active,2022-11-07,2022-11-10
683765,786660,96.62,not active,2022-11-07,2022-11-12
959143,926431,125.66,active,2022-11-07,2022-11-09
880711,893686,140.19,not active,2022-11-07,2022-11-10
952516,423198,12.52,not active,2022-11-07,2022-11-08
473976,162721,17.41,active,2022-11-07,2022-11-07
929031,850690,13.06,not active,2022-11-07,2022-11-07
994559,789398,69.6,not active,2022-11-07,2022-11-07
735292,119710,100.07,active,2022-11-07,2022-11-11
900689,479997,17.39,not active,2022-11-07,2022-11-12
194071,122751,119.44,active,2022-11-07,2022-11-10
118657,127654,149.21,active,2022-11-07,2022-11-07
30826,971079,118.75,active,2022-11-07,2022-11-10
238233,211057,95.28,active,2022-11-07,2022-11-10
542706,852834,114.79,not active,2022-11-07,2022-11-08
177416,411168,125.8,active,2022-11-07,2022-11-09
986872,852610,88.47,active,2022-11-07,2022-11-07
470820,660696,102.7,active,2022-11-07,2022-11-11
743770,876138,41.26,active,2022-11-07,2022-11-07
439534,471521,44.86,not active,2022-11-07,2022-11-09
572681,683770,85.82,not active,2022-11-07,2022-11-07
417811,214229,9.79,active,2022-11-07,2022-11-10
144474,337903,137.42,not active,2022-11-07,2022-11-09
754031,908142,18.77,not active,2022-11-07,2022-11-11
83406,585561,67.38,not active,2022-11-07,2022-11-11
505268,50091,34.26,not active,2022-11-07,2022-11-10
410176,47010,145.62,active,2022-11-07,2022-11-09
721072,32634,76.84,active,2022-11-07,2022-11-07
361804,93760,117.88,not active,2022-11-07,2022-11-11
96325,850690,40.42,active,2022-11-07,2022-11-11
399434,69585,22.86,active,2022-11-07,2022-11-09
744286,909147,35.29,not active,2022-11-07,2022-11-10
115634,288396,133.43,not active,2022-11-07,2022-11-07
534371,848335,66.81,not active,2022-11-07,2022-11-09
294688,163341,59.51,not active,2022-11-07,2022-11-10
979811,378648,103.32,active,2022-11-07,2022-11-08
306045,511698,3.34,not active,2022-11-07,2022-11-07
703979,358912,78.27,not active,2022-11-07,2022-11-09
821005,334656,110.71,not active,2022-11-07,2022-11-09
79790,904572,125.31,not active,2022-11-07,2022-11-12
363885,893686,141.81,not active,2022-11-07,2022-11-12
703337,121800,64.22,active,2022-11-07,2022-11-09
489684,883356,83.53,not active,2022-11-07,2022-11-07
713085,703394,1.12,not active,2022-11-07,2022-11-09
369976,529683,75.03,not active,2022-11-07,2022-11-07
878692,754814,55.03,not active,2022-11-07,2022-11-10
633762,704755,138.97,not active,2022-11-07,2022-11-07
770620,135838,106.46,not active,2022-11-07,2022-11-09
731253,311927,20.34,not active,2022-11-07,2022-11-08
166143,622338,143.13,active,2022-11-07,2022-11-11
290107,679856,0.71,not active,2022-11-07,2022-11-10
191997,720083,72.02,active,2022-11-07,2022-11-10
659485,544020,95.75,not active,2022-11-07,2022-11-08
392353,361192,58.66,active,2022-11-07,2022-11-09
703104,141925,92.15,not active,2022-11-07,2022-11-07
896625,453094,100.51,active,2022-11-07,2022-11-08
464382,398079,10.48,active,2022-11-07,2022-11-08
798045,182405,41.44,active,2022-11-07,2022-11-12
534871,381592,112.07,not active,2022-11-07,2022-11-09
446096,450086,30.13,active,2022-11-07,2022-11-10
292044,198041,84.97,not active,2022-11-07,2022-11-09
990550,374139,100.87,active,2022-11-07,2022-11-12
933553,413920,102.31,not active,2022-11-07,2022-11-10
557026,894860,22.9,active,2022-11-07,2022-11-11
453414,984852,19.25,not active,2022-11-07,2022-11-12
205846,43797,57.78,active,2022-11-07,2022-11-08
323894,313088,48.24,not active,2022-11-07,2022-11-12
805071,769759,42.56,not active,2022-11-07,2022-11-09
234168,679361,14.82,active,2022-11-07,2022-11-07
393064,28832,108.17,not active,2022-11-07,2022-11-09
458546,715670,6.42,active,2022-11-07,2022-11-07
601363,355616,78.73,not active,2022-11-07,2022-11-09
378233,718695,51.46,active,2022-11-07,2022-11-11
142969,989595,49.8,active,2022-11-07,2022-11-07
579411,884952,78.24,active,2022-11-07,2022-11-12
281965,745760,67.32,active,2022-11-07,2022-11-08
185029,333584,68.1,not active,2022-11-07,2022-11-12
216283,169348,48.65,not active,2022-11-07,2022-11-10
697443,175332,106.31,active,2022-11-07,2022-11-08
51655,177228,143.37,not active,2022-11-07,2022-11-08
390843,607421,84.11,active,2022-11-07,2022-11-10
386639,747856,69.57,not active,2022-11-07,2022-11-11
390822,295649,97.31,not active,2022-11-07,2022-11-10
763478,492347,53.81,active,2022-11-07,2022-11-10
571898,757818,37.73,not active,2022-11-07,2022-11-09
908904,350465,36.95,not active,2022-11-07,2022-11-11
437352,822697,84.03,not active,2022-11-07,2022-11-10
555626,540021,97.05,not active,2022-11-07,2022-11-07
396055,306596,131.49,not active,2022-11-07,2022-11-10
141331,644178,25.23,active,2022-11-07,2022-11-11
612125,402882,145.22,not active,2022-11-07,2022-11-11
897176,843321,49.71,not active,2022-11-07,2022-11-09
265834,604614,134.67,not active,2022-11-07,2022-11-11
500285,870729,11.74,not active,2022-11-07,2022-11-08
270504,436321,30.39,active,2022-11-07,2022-11-12
980100,116125,86.47,active,2022-11-07,2022-11-12
757648,402093,90.21,active,2022-11-07,2022-11-11
51197,198041,52.56,not active,2022-11-07,2022-11-12
524058,291356,104.39,active,2022-11-07,2022-11-10
114790,895695,103.36,not active,2022-11-07,2022-11-09
817067,923061,31.43,not active,2022-11-07,2022-11-07
495949,79243,148.3,active,2022-11-07,2022-11-09
419283,10899,24.12,active,2022-11-07,2022-11-12
990475,119619,98.66,not active,2022-11-07,2022-11-07
303730,443220,99.07,active,2022-11-07,2022-11-10
367807,754814,131.85,not active,2022-11-07,2022-11-07
860555,108546,138.71,active,2022-11-07,2022-11-09
152522,987947,94.14,active,2022-11-07,2022-11-12
86395,849512,10.33,not active,2022-11-07,2022-11-07
181825,121800,53.2,active,2022-11-07,2022-11-08
596870,994084,78.85,active,2022-11-07,2022-11-12
967043,574775,22.12,not active,2022-11-07,2022-11-09
881410,769335,51.16,not active,2022-11-07,2022-11-12
224138,462434,128.56,active,2022-11-07,2022-11-10
774143,883808,92.36,active,2022-11-07,2022-11-11
92200,726526,86.12,active,2022-11-07,2022-11-07
8410,141925,122.77,active,2022-11-07,2022-11-07
200052,862256,105.18,not active,2022-11-07,2022-11-07
238819,840662,42.94,not active,2022-11-07,2022-11-08
780905,423198,85.23,active,2022-11-07,2022-11-12
387049,731122,63.51,not active,2022-11-07,2022-11-10
977722,325077,67.35,active,2022-11-07,2022-11-08
731752,529683,21.75,active,2022-11-07,2022-11-11
374455,514190,128.18,active,2022-11-07,2022-11-10
838413,904791,71.68,active,2022-11-07,2022-11-08
717928,581356,10.21,active,2022-11-07,2022-11-11
615239,634370,56.76,active,2022-11-07,2022-11-08
137396,23641,84.09,not active,2022-11-07,2022-11-10
311448,853516,55.78,active,2022-11-07,2022-11-11
266463,336235,40.73,not active,2022-11-07,2022-11-09
730618,913620,86.03,not active,2022-11-07,2022-11-08
159348,909147,15.3,active,2022-11-07,2022-11-11
577809,885072,8.86,not active,2022-11-07,2022-11-07
553630,548595,56.71,active,2022-11-07,2022-11-12
505845,221255,113.87,active,2022-11-07,2022-11-07
875318,839140,106.18,not active,2022-11-07,2022-11-10
641897,368570,69.96,not active,2022-11-07,2022-11-10
714246,935056,137.06,active,2022-11-07,2022-11-12
681579,883472,72.88,not active,2022-11-07,2022-11-10
508868,361192,140.99,not active,2022-11-07,2022-11-09
139222,281196,45.09,not active,2022-11-07,2022-11-11
991150,697470,93.44,not active,2022-11-07,2022-11-11
427075,997263,108.5,active,2022-11-07,2022-11-08
492578,296741,42.45,not active,2022-11-07,2022-11-11
246820,319009,123.73,not active,2022-11-07,2022-11-12
577985,740021,103.15,not active,2022-11-07,2022-11-11
949662,572379,22.24,active,2022-11-07,2022-11-07
979815,877220,112.67,active,2022-11-07,2022-11-10
706693,864768,40.16,active,2022-11-07,2022-11-11
565781,659027,51.58,active,2022-11-07,2022-11-11
390325,353499,13.31,not active,2022-11-07,2022-11-10
426399,499168,51.9,active,2022-11-07,2022-11-11
702356,769290,25.82,active,2022-11-07,2022-11-07
256815,923420,0.19,active,2022-11-07,2022-11-12
576332,542318,105.82,not active,2022-11-07,2022-11-12
85955,65750,75.67,not active,2022-11-07,2022-11-08
517786,875064,28.14,not active,2022-11-07,2022-11-10
555150,469550,109.59,active,2022-11-07,2022-11-07
862895,706508,110.46,active,2022-11-07,2022-11-10
747923,992357,44.66,active,2022-11-07,2022-11-11
595718,737064,93.75,not active,2022-11-07,2022-11-09
524448,866787,24.0,active,2022-11-07,2022-11-09
764204,155844,59.83,active,2022-11-07,2022-11-07
864330,856139,93.29,not active,2022-11-07,2022-11-07
677844,180326,91.47,active,2022-11-07,2022-11-08
739949,119710,116.75,active,2022-11-07,2022-11-11
203708,442730,134.06,active,2022-11-07,2022-11-10
848086,384495,70.74,active,2022-11-07,2022-11-08
563777,546769,135.2,active,2022-11-07,2022-11-07
729081,230305,121.72,active,2022-11-07,2022-11-12
250107,440767,60.4,active,2022-11-07,2022-11-08
740388,38854,127.96,not active,2022-11-07,2022-11-10
484945,995568,15.62,not active,2022-11-07,2022-11-07
337958,44421,54.6,not active,2022-11-07,2022-11-11
98844,777814,1.18,active,2022-11-07,2022-11-09
52893,952353,83.38,not active,2022-11-07,2022-11-10
731790,38138,134.32,active,2022-11-07,2022-11-07
629374,336235,15.42,not active,2022-11-07,2022-11-08
742007,79243,141.23,not active,2022-11-07,2022-11-10
44585,849512,37.12,not active,2022-11-07,2022-11-09
743180,866787,118.29,active,2022-11-07,2022-11-07
864898,905363,47.81,not active,2022-11-07,2022-11-07
716244,220314,98.06,active,2022-11-07,2022-11-11
261397,412622,104.91,active,2022-11-07,2022-11-10
214686,866291,69.77,not active,2022-11-07,2022-11-12
760774,17659,97.55,active,2022-11-07,2022-11-12
165139,536745,62.14,not active,2022-11-07,2022-11-09
558923,736075,105.71,active,2022-11-07,2022-11-08
612975,745149,103.64,active,2022-11-07,2022-11-09
436557,227844,80.0,active,2022-11-07,2022-11-12
67642,639096,4.04,active,2022-11-07,2022-11-11
912141,325077,111.6,not active,2022-11-07,2022-11-11
790016,608813,105.45,not active,2022-11-07,2022-11-08
519735,194246,118.46,not active,2022-11-07,2022-11-08
910456,747501,90.48,not active,2022-11-07,2022-11-10
315950,247141,3.14,active,2022-11-07,2022-11-10
199290,923420,18.88,not active,2022-11-07,2022-11-08
719276,199113,7.23,active,2022-11-07,2022-11-10
732200,715748,92.1,not active,2022-11-07,2022-11-11
845771,121800,84.17,not active,2022-11-07,2022-11-10
808926,946706,133.91,active,2022-11-07,2022-11-09
811551,422002,42.11,active,2022-11-07,2022-11-10
749510,469808,35.45,not active,2022-11-07,2022-11-12
513669,703768,37.38,not active,2022-11-07,2022-11-11
890196,40497,28.34,not active,2022-11-07,2022-11-07
220606,753290,147.17,active,2022-11-07,2022-11-10
77357,183030,58.82,not active,2022-11-07,2022-11-11
258170,875064,35.41,not active,2022-11-07,2022-11-07
342504,542318,140.92,active,2022-11-07,2022-11-10
692139,65750,87.17,active,2022-11-07,2022-11-10
174981,926431,48.61,active,2022-11-07,2022-11-11
529109,790274,7.64,active,2022-11-07,2022-11-10
140759,744650,96.44,not active,2022-11-07,2022-11-07
199835,297901,113.38,not active,2022-11-07,2022-11-09
661495,763968,58.66,active,2022-11-07,2022-11-12
589706,320221,146.94,active,2022-11-07,2022-11-07
846290,507944,27.0,active,2022-11-07,2022-11-12
289649,904572,77.4,not active,2022-11-07,2022-11-07
21162,823636,46.45,active,2022-11-07,2022-11-08
948463,213478,44.41,not active,2022-11-07,2022-11-12
286371,35257,8.18,not active,2022-11-07,2022-11-12
583591,870729,41.08,not active,2022-11-07,2022-11-09
958021,97971,4.37,active,2022-11-07,2022-11-09
989254,80645,117.34,not active,2022-11-07,2022-11-10
349172,140540,15.99,active,2022-11-07,2022-11-07
710599,686712,84.33,active,2022-11-07,2022-11-07
277860,745760,55.33,not active,2022-11-07,2022-11-11
141290,551852,40.69,active,2022-11-07,2022-11-07
369005,149452,59.15,active,2022-11-07,2022-11-08
415173,740624,44.67,not active,2022-11-07,2022-11-12
864861,660696,97.48,not active,2022-11-07,2022-11-11
624837,554348,46.81,active,2022-11-07,2022-11-07
66891,488513,90.86,active,2022-11-07,2022-11-12
890730,628566,92.88,not active,2022-11-07,2022-11-09
